Source Node,Message,Delivered Node
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,9
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,8
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
8,Event Type: ApplicationLayerMessageTypes.VOTE | Vote: 1 ,6
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
8,Event Type: ApplicationLayerMessageTypes.VOTE | Vote: 1 ,5
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,0
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,3
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,3
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,9
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,9
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,3
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,3
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,8
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,9
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,8
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,8
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,9
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
